AK,2,ALASKA,02,2,2,AK02,AK-02,N
AL,1,ALABAMA,01,1,1,AL01,AL-01,Y
AR,5,ARKANSAS,05,5,5,AR05,AR-05,Y
AS,60,AMERICAN SAMOA,60,60,60,AS60,AS-60,N
AZ,4,ARIZONA,04,4,4,AZ04,AZ-04,Y
CA,6,CALIFORNIA,06,6,6,CA06,CA-06,Y
CO,8,COLORADO,08,8,8,CO08,CO-08,Y
CT,9,CONNECTICUT,09,9,9,CT09,CT-09,Y
DC,11,DISTRICT OF COLUMBIA,11,11,11,DC11,DC-11,Y
DE,10,DELAWARE,10,10,10,DE10,DE-10,Y
FL,12,FLORIDA,12,12,12,FL12,FL-12,Y
GA,13,GEORGIA,13,13,13,GA13,GA-13,Y
GU,66,GUAM,66,66,66,GU66,GU-66,N
HI,15,HAWAII,15,15,15,HI15,HI-15,N
IA,19,IOWA,19,19,19,IA19,IA-19,Y
ID,16,IDAHO,16,16,16,ID16,ID-16,Y
IL,17,ILLINOIS,17,17,17,IL17,IL-17,Y
IN,18,INDIANA,18,18,18,IN18,IN-18,Y
KS,20,KANSAS,20,20,20,KS20,KS-20,Y
KY,21,KENTUCKY,21,21,21,KY21,KY-21,Y
LA,22,LOUISIANA,22,22,22,LA22,LA-22,Y
MA,25,MASSACHUSETTS,25,25,25,MA25,MA-25,Y
MD,24,MARYLAND,24,24,24,MD24,MD-24,Y
ME,23,MAINE,23,23,23,ME23,ME-23,Y
MI,26,MICHIGAN,26,26,26,MI26,MI-26,Y
MN,27,MINNESOTA,27,27,27,MN27,MN-27,Y
MO,29,MISSOURI,29,29,29,MO29,MO-29,Y
MS,28,MISSISSIPPI,28,28,28,MS28,MS-28,Y
MT,30,MONTANA,30,30,30,MT30,MT-30,Y
NC,37,NORTH CAROLINA,37,37,37,NC37,NC-37,Y
ND,38,NORTH DAKOTA,38,38,38,ND38,ND-38,Y
NE,31,NEBRASKA,31,31,31,NE31,NE-31,Y
NH,33,NEW HAMPSHIRE,33,33,33,NH33,NH-33,Y
NJ,34,NEW JERSEY,34,34,34,NJ34,NJ-34,Y
NM,35,NEW MEXICO,35,35,35,NM35,NM-35,Y
NV,32,NEVADA,32,32,32,NV32,NV-32,Y
NY,36,NEW YORK,36,36,36,NY36,NY-36,Y
OH,39,OHIO,39,39,39,OH39,OH-39,Y
OK,40,OKLAHOMA,40,40,40,OK40,OK-40,Y
OR,41,OREGON,41,41,41,OR41,OR-41,Y
PA,42,PENNSYLVANIA,42,42,42,PA42,PA-42,Y
PR,72,PUERTO RICO,72,72,72,PR72,PR-72,Y
RI,44,RHODE ISLAND,44,44,44,RI44,RI-44,Y
SC,45,SOUTH CAROLINA,45,45,45,SC45,SC-45,Y
SD,46,SOUTH DAKOTA,46,46,46,SD46,SD-46,Y
TN,47,TENNESSEE,47,47,47,TN47,TN-47,Y
TX,48,TEXAS,48,48,48,TX48,TX-48,Y
UT,49,UTAH,49,49,49,UT49,UT-49,Y
VA,51,VIRGINIA,51,51,51,VA51,VA-51,Y
VI,78,VIRGIN ISLANDS,78,78,78,VI78,VI-78,N
VT,50,VERMONT,50,50,50,VT50,VT-50,Y
WA,53,WASHINGTON,53,53,53,WA53,WA-53,Y
WI,55,WISCONSIN,55,55,55,WI55,WI-55,Y
WV,54,WEST VIRGINIA,54,54,54,WV54,WV-54,Y
WY,56,WYOMING,56,56,56,WY56,WY-56,Y